"filename", "language", "JSON", "SCSS", "JavaScript", "CSS", "Markdown", "HTML", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\个人文件夹\大三下实训\前端\psychology-frontend\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 18, 2, 1, 21
"d:\个人文件夹\大三下实训\前端\psychology-frontend\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\个人文件夹\大三下实训\前端\psychology-frontend\.idea\psychology-frontend.iml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\个人文件夹\大三下实训\前端\psychology-frontend\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\个人文件夹\大三下实训\前端\psychology-frontend\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 37
"d:\个人文件夹\大三下实训\前端\psychology-frontend\colorui\animation.css", "CSS", 0, 0, 0, 141, 0, 0, 0, 0, 6, 37, 184
"d:\个人文件夹\大三下实训\前端\psychology-frontend\colorui\icon.css", "CSS", 0, 0, 0, 921, 0, 0, 0, 0, 4, 302, 1227
"d:\个人文件夹\大三下实训\前端\psychology-frontend\colorui\main.css", "CSS", 0, 0, 0, 3195, 0, 0, 0, 0, 100, 645, 3940
"d:\个人文件夹\大三下实训\前端\psychology-frontend\common\html-parser.js", "JavaScript", 0, 0, 210, 0, 0, 0, 0, 0, 86, 57, 353
"d:\个人文件夹\大三下实训\前端\psychology-frontend\common\util.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"d:\个人文件夹\大三下实训\前端\psychology-frontend\env.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"d:\个人文件夹\大三下实训\前端\psychology-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\个人文件夹\大三下实训\前端\psychology-frontend\jest.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\个人文件夹\大三下实训\前端\psychology-frontend\main.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 3, 16
"d:\个人文件夹\大三下实训\前端\psychology-frontend\manifest.json", "JSON", 119, 0, 0, 0, 0, 0, 0, 0, 8, 1, 128
"d:\个人文件夹\大三下实训\前端\psychology-frontend\package.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\个人文件夹\大三下实训\前端\psychology-frontend\pages.json", "JSON", 167, 0, 0, 0, 0, 0, 0, 0, 26, 4, 197
"d:\个人文件夹\大三下实训\前端\psychology-frontend\pages\appointment\pretty-times.scss", "SCSS", 0, 96, 0, 0, 0, 0, 0, 0, 4, 6, 106
"d:\个人文件夹\大三下实训\前端\psychology-frontend\static\css\index-app.css", "CSS", 0, 0, 0, 327, 0, 0, 0, 0, 1, 7, 335
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni.scss", "SCSS", 0, 37, 0, 0, 0, 0, 0, 0, 25, 14, 76
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\HJ2002-loginView\manifest.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 7, 1, 96
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\HJ2002-loginView\package.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\changelog.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-box\props.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-col\props.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 5, 0, 30
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-icon\icons.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-icon\props.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 17, 1, 90
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-option\props.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-row\props.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 3, 1, 20
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\components\bow-page-search\bow-search\props.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 21, 1, 118
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\package.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\readme.md", "Markdown", 0, 0, 0, 0, 102, 0, 0, 0, 0, 13, 115
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\static\css\color.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\static\css\components.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 4, 2, 16
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\bow-page-search\static\css\mixin.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\cc-horBarCharts\changelog.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\cc-horBarCharts\package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\cc-horBarCharts\readme.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 0, 14, 56
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\liu-clean-time\changelog.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\liu-clean-time\license.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\liu-clean-time\package.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\liu-clean-time\readme.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 7, 100
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\changelog.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\components\lsj-edit\edit-btns\icon\iconfont.css", "CSS", 0, 0, 0, 142, 0, 0, 0, 0, 0, 47, 189
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\components\lsj-edit\edit-btns\mixins\font.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 0, 7, 1, 221
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\components\lsj-edit\edit-btns\mixins\props.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 66
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\components\lsj-edit\edit.js", "JavaScript", 0, 0, 339, 0, 0, 0, 0, 0, 60, 31, 430
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\components\lsj-edit\observer.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 1, 36
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\lsj-edit\readme.md", "Markdown", 0, 0, 0, 0, 272, 0, 0, 0, 0, 59, 331
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\select-lay\changelog.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\select-lay\package.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\select-lay\readme.md", "Markdown", 0, 0, 0, 0, 159, 0, 0, 0, 0, 14, 173
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\changelog.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\index.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\package.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\readme.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\index.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_border.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_color.scss", "SCSS", 0, 49, 0, 0, 0, 0, 0, 0, 16, 2, 67
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_radius.scss", "SCSS", 0, 52, 0, 0, 0, 0, 0, 0, 1, 3, 56
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_space.scss", "SCSS", 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 56
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_styles.scss", "SCSS", 0, 149, 0, 0, 0, 0, 0, 0, 3, 16, 168
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_text.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 4, 2, 25
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\setting\_variables.scss", "SCSS", 0, 103, 0, 0, 0, 0, 0, 0, 29, 15, 147
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\styles\tools\functions.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\theme.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 11, 2, 32
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-scss\variables.scss", "SCSS", 0, 37, 0, 0, 0, 0, 0, 0, 13, 13, 63
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\changelog.md", "Markdown", 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 48
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\bindingx.js", "JavaScript", 0, 0, 247, 0, 0, 0, 0, 0, 37, 19, 303
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\isPC.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpalipay.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 0, 24, 12, 196
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpother.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 43, 14, 261
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\mpwxs.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 8, 5, 85
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\render.js", "JavaScript", 0, 0, 169, 0, 0, 0, 0, 0, 74, 28, 271
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\components\uni-swipe-action-item\wx.wxs", "XML", 0, 0, 0, 0, 0, 0, 305, 0, 0, 37, 342
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\package.json", "JSON", 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\uni-swipe-action\readme.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\changelog.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\highlight\config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\highlight\index.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 10, 4, 110
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\highlight\prism.min.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 1, 8
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\markdown\index.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 6, 5, 35
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\markdown\marked.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\parser.js", "JavaScript", 0, 0, 1017, 0, 0, 0, 0, 0, 253, 66, 1336
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\style\index.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 28, 7, 130
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\components\mp-html\style\parser.js", "JavaScript", 0, 0, 139, 0, 0, 0, 0, 0, 22, 15, 176
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\package.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
"d:\个人文件夹\大三下实训\前端\psychology-frontend\uni_modules\zero-markdown-view\readme.md", "Markdown", 0, 0, 0, 0, 103, 0, 0, 0, 0, 32, 135
"d:\个人文件夹\大三下实训\前端\psychology-frontend\utils\date.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 6, 6, 98
"d:\个人文件夹\大三下实训\前端\psychology-frontend\utils\list.scss", "SCSS", 0, 260, 0, 0, 0, 0, 0, 0, 2, 14, 276
"Total", "-", 1007, 919, 3534, 4726, 904, 18, 365, 18, 996, 1625, 14112